"","zone_names","method_ap","method_k_seed3","method_k_seed4","method_ward","method_complete","method_avg","method_single"
"1","0_BDRM_1_2","1","11","2","1","1","1","1"
"2","0_BDRM_1_3","1","11","2","2","2","2","2"
"3","0_BDRM_1_4","1","7","2","1","1","1","1"
"4","0_BDRM_2_2","1","7","2","1","1","1","1"
"5","0_BDRM_2_3","2","1","12","3","3","3","3"
"6","0_BDRM_2_4","1","11","2","1","1","1","1"
"7","0_BDRM_3_2","1","11","2","1","1","1","1"
"8","0_BDRM_3_3","1","11","2","2","2","2","2"
"9","0_BDRM_3_4","1","11","2","1","1","1","1"
"10","0_BDRM_4_2","1","7","2","1","1","1","1"
"11","0_BDRM_4_3","1","11","2","2","2","2","2"
"12","0_BDRM_4_4","1","11","2","1","1","1","1"
"13","1_BDRM_1_2","1","7","2","1","1","1","1"
"14","1_BDRM_1_3","3","6","10","4","4","4","4"
"15","1_BDRM_1_4","1","7","7","1","1","1","1"
"16","1_BDRM_2_2","4","4","9","5","5","5","5"
"17","1_BDRM_2_3","5","9","6","6","6","6","6"
"18","1_BDRM_2_4","6","2","13","7","7","7","7"
"19","1_BDRM_3_2","1","7","2","1","1","1","1"
"20","1_BDRM_3_3","5","9","6","6","6","6","6"
"21","1_BDRM_3_4","1","13","11","2","2","2","2"
"22","1_BDRM_4_2","7","12","5","8","8","8","8"
"23","1_BDRM_4_3","8","7","7","1","1","1","1"
"24","1_BDRM_4_4","9","4","9","5","5","5","5"
"25","1_BDRM_5_2","10","5","8","9","9","9","9"
"26","1_BDRM_5_3","8","7","7","1","1","1","1"
"27","1_BDRM_5_4","11","10","4","10","10","10","10"
"28","1_BDRM_6_2","1","7","2","1","1","1","1"
"29","1_BDRM_6_3","12","8","3","11","11","11","11"
"30","1_BDRM_6_4","5","9","6","6","6","6","6"
"31","1_BDRM_7_2","8","7","7","1","1","1","1"
"32","1_BDRM_7_3","8","7","7","1","1","1","1"
"33","1_BDRM_7_4","5","9","6","6","6","6","6"
"34","2_BDRM_1_2","8","7","7","1","1","1","1"
"35","2_BDRM_1_3","8","7","7","2","2","2","2"
"36","2_BDRM_1_4","8","7","7","1","1","1","1"
"37","2_BDRM_2_2","8","7","7","1","1","1","1"
"38","2_BDRM_2_3","8","7","7","1","1","1","1"
"39","2_BDRM_2_4","8","7","7","2","2","2","2"
"40","2_BDRM_3_2","13","3","1","12","12","12","12"
"41","2_BDRM_3_3","8","7","7","1","1","1","1"
"42","2_BDRM_3_4","1","7","7","2","2","2","2"
"43","3_BDRM_1_3","8","7","7","1","1","1","1"
"44","3_BDRM_1_4","8","7","7","1","1","1","1"
"45","3_BDRM_2_2","8","7","7","1","1","1","1"
"46","CORRIDOR_2","1","11","2","13","13","13","13"
"47","CORRIDOR_3","1","11","2","13","13","13","13"
"48","CORRIDOR_4","1","11","2","13","13","13","13"
"49","STAIRWELL_1_2","1","11","2","13","13","13","13"
"50","STAIRWELL_1_3","1","11","2","13","13","13","13"
"51","STAIRWELL_1_4","1","11","2","13","13","13","13"
"52","STAIRWELL_2_2","1","11","2","13","13","13","13"
"53","STAIRWELL_2_3","1","11","2","13","13","13","13"
"54","STAIRWELL_2_4","1","11","2","13","13","13","13"
