"","zone_names","method_ap","method_k_seed3","method_k_seed4","method_ward","method_complete","method_avg","method_single"
"1","0_BDRM_1_2","1","1","8","1","1","1","1"
"2","0_BDRM_1_3","2","8","6","1","1","1","1"
"3","0_BDRM_1_4","2","8","6","1","1","1","1"
"4","0_BDRM_2_2","2","8","6","1","1","1","1"
"5","0_BDRM_2_3","3","9","2","2","2","2","2"
"6","0_BDRM_2_4","2","8","6","1","1","1","1"
"7","0_BDRM_3_2","2","8","6","1","1","1","1"
"8","0_BDRM_3_3","2","8","6","1","1","1","1"
"9","0_BDRM_3_4","2","8","6","1","1","1","1"
"10","0_BDRM_4_2","2","8","6","1","1","1","1"
"11","0_BDRM_4_3","2","8","6","1","1","1","1"
"12","0_BDRM_4_4","2","8","6","1","1","1","1"
"13","1_BDRM_1_2","2","8","6","1","1","1","1"
"14","1_BDRM_1_3","4","5","1","3","3","3","3"
"15","1_BDRM_1_4","2","8","6","1","1","1","1"
"16","1_BDRM_2_2","2","6","4","4","4","4","4"
"17","1_BDRM_2_3","1","1","8","5","5","5","5"
"18","1_BDRM_2_4","5","8","6","1","1","1","1"
"19","1_BDRM_3_2","2","8","6","1","1","1","1"
"20","1_BDRM_3_3","1","1","8","5","5","5","5"
"21","1_BDRM_3_4","2","8","6","1","1","1","1"
"22","1_BDRM_4_2","6","6","4","4","4","4","4"
"23","1_BDRM_4_3","2","3","3","6","6","6","6"
"24","1_BDRM_4_4","2","6","4","4","4","4","4"
"25","1_BDRM_5_2","7","2","9","7","7","7","7"
"26","1_BDRM_5_3","2","3","3","6","6","6","6"
"27","1_BDRM_5_4","2","8","6","1","1","1","1"
"28","1_BDRM_6_2","2","8","6","1","1","1","1"
"29","1_BDRM_6_3","8","7","7","8","8","8","8"
"30","1_BDRM_6_4","1","1","8","5","5","5","5"
"31","1_BDRM_7_2","2","3","3","6","6","6","6"
"32","1_BDRM_7_3","2","3","3","6","6","6","6"
"33","1_BDRM_7_4","1","1","8","5","5","5","5"
"34","2_BDRM_1_2","9","3","3","6","6","6","6"
"35","2_BDRM_1_3","9","3","3","6","6","6","6"
"36","2_BDRM_1_4","9","3","3","6","6","6","6"
"37","2_BDRM_2_2","9","3","3","6","6","6","6"
"38","2_BDRM_2_3","9","3","3","6","6","6","6"
"39","2_BDRM_2_4","9","3","3","6","6","6","6"
"40","2_BDRM_3_2","9","3","3","4","4","4","4"
"41","2_BDRM_3_3","9","3","3","6","6","6","6"
"42","2_BDRM_3_4","9","3","3","6","6","6","6"
"43","3_BDRM_1_3","9","3","3","6","6","6","6"
"44","3_BDRM_1_4","9","3","3","6","6","6","6"
"45","3_BDRM_2_2","9","3","3","6","6","6","6"
"46","CORRIDOR_1","9","4","5","9","9","9","9"
"47","CORRIDOR_2","9","4","5","9","9","9","9"
"48","CORRIDOR_3","9","4","5","9","9","9","9"
"49","CORRIDOR_4","9","4","5","9","9","9","9"
"50","STAIRWELL_1_2","9","4","5","9","9","9","9"
"51","STAIRWELL_1_3","9","4","5","9","9","9","9"
"52","STAIRWELL_1_4","9","4","5","9","9","9","9"
"53","STAIRWELL_2_2","9","4","5","9","9","9","9"
"54","STAIRWELL_2_3","9","4","5","9","9","9","9"
"55","STAIRWELL_2_4","9","4","5","9","9","9","9"
